同盟	君主	領地名	X	Y	人口	本拠
DC♪	鉄壁ミュラー	今日だけ頑張る！	-276	621	570	1
DC♪	鉄壁ミュラー	9糧-280,622	-280	622	576	
DC♪	鉄壁ミュラー	新規砦-281,645	-281	645	4	
DC♪	鉄壁ミュラー	新領地-275,622	-275	622		
DC♪	鉄壁ミュラー	新領地-274,621	-274	621		
DC♪	鉄壁ミュラー	新領地-276,619	-276	619		
DC♪	鉄壁ミュラー	北西276	-311	618		
DC♪	鉄壁ミュラー	新領地-277,619	-277	619		
DC♪	鉄壁ミュラー	新領地-277,620	-277	620		
DC♪	鉄壁ミュラー	新領地-278,624	-278	624		
DC♪	鉄壁ミュラー	北西310	-356	569		
DC♪	鉄壁ミュラー	新領地-275,621	-275	621		
DC♪	鉄壁ミュラー	新領地-277,624	-277	624		
DC♪	鉄壁ミュラー	新領地-278,623	-278	623		
DC♪	鉄壁ミュラー	新領地-276,618	-276	618		
DC♪	鉄壁ミュラー	新領地-276,616	-276	616		
DC♪	鉄壁ミュラー	新領地-280,624	-280	624		
DC♪	鉄壁ミュラー	新領地-63,723	-63	723		
DC♪	鉄壁ミュラー	新領地-16,638	-16	638		
DC♪	鉄壁ミュラー	新領地-415,502	-415	502		
DC♪	鉄壁ミュラー	新領地-277,631	-277	631		
DC♪	鉄壁ミュラー	新領地-275,630	-275	630		
DC♪	鉄壁ミュラー	新領地-274,630	-274	630		
DC♪	鉄壁ミュラー	新領地-284,416	-284	416		
DC♪	鉄壁ミュラー	新領地-287,413	-287	413		
DC♪	鉄壁ミュラー	新領地-283,414	-283	414		
DC♪	鉄壁ミュラー	新領地-171,750	-171	750		
DC♪	鉄壁ミュラー	新領地-285,416	-285	416		
DC♪	鉄壁ミュラー	新領地-282,648	-282	648		
DC♪	鉄壁ミュラー	新領地-283,650	-283	650		
DC♪	鉄壁ミュラー	新領地-371,552	-371	552		
DC♪	鉄壁ミュラー	新領地-595,18	-595	18		
DC♪	黒兵衛	天秤のジャヘイラ	-68	676	684	1
DC♪	黒兵衛	悠久のエアリー	-55	695	557	
DC♪	黒兵衛	チクティッカファストポー	-326	335	2	
DC♪	黒兵衛	怒涛のミンスク	-69	680	621	
DC♪	黒兵衛	領地-67,681	-67	681		
DC♪	黒兵衛	領地-65,685	-65	685		
DC♪	黒兵衛	領地-66,683	-66	683		
DC♪	黒兵衛	領地-70,674	-70	674		
DC♪	黒兵衛	領地-75,683	-75	683		
DC♪	黒兵衛	領地-77,681	-77	681		
DC♪	黒兵衛	領地-63,692	-63	692		
DC♪	黒兵衛	領地-63,696	-63	696		
DC♪	黒兵衛	領地-62,698	-62	698		
DC♪	黒兵衛	領地-63,698	-63	698		
DC♪	黒兵衛	領地-61,696	-61	696		
DC♪	黒兵衛	領地-64,699	-64	699		
DC♪	黒兵衛	領地-56,694	-56	694		
DC♪	黒兵衛	領地-56,695	-56	695		
DC♪	黒兵衛	新領地-335,368	-335	368		
DC♪	黒兵衛	新領地-172,751	-172	751		
DC♪	黒兵衛	新領地-130,530	-130	530		
DC♪	黒兵衛	新領地-126,526	-126	526		
DC♪	黒兵衛	新領地-112,526	-112	526		
DC♪	黒兵衛	新領地-114,525	-114	525		
DC♪	黒兵衛	新領地-111,529	-111	529		
DC♪	黒兵衛	新領地-112,529	-112	529		
DC♪	黒兵衛	本拠-69,675	-69	675		
DC♪	黒兵衛	本拠-67,676	-67	676		
DC♪	黒兵衛	本拠-69,677	-69	677		
DC♪	黒兵衛	本拠-68,675	-68	675		
DC♪	黒兵衛	本拠-69,676	-69	676		
DC♪	黒兵衛	TP-67,677	-67	677		
DC♪	黒兵衛	本拠-68,677	-68	677		
DC♪	黒兵衛	本拠-67,675	-67	675		
DC♪	すいち	switch	-43	679	800	1
DC♪	すいち	新規砦-158,755	-158	755	564	
DC♪	すいち	新規砦-156,746	-156	746	203	
DC♪	すいち	新規砦-171,789	-171	789	94	
DC♪	すいち	新規砦-182,784	-182	784	2	
DC♪	すいち	新領地-19,682	-19	682		
DC♪	すいち	新領地-46,681	-46	681		
DC♪	すいち	新領地-60,730	-60	730		
DC♪	すいち	新領地-123,763	-123	763		
DC♪	すいち	新領地-158,763	-158	763		
DC♪	すいち	新領地-111,769	-111	769		
DC♪	すいち	新領地-160,734	-160	734		
DC♪	すいち	新領地-285,204	-285	204		
DC♪	すいち	新領地-52,686	-52	686		
DC♪	すいち	新領地-51,686	-51	686		
DC♪	すいち	新領地-52,689	-52	689		
DC♪	すいち	新領地-56,690	-56	690		
DC♪	すいち	新領地-60,688	-60	688		
DC♪	すいち	新領地-47,688	-47	688		
DC♪	すいち	新領地-43,678	-43	678		
DC♪	すいち	新領地-44,680	-44	680		
DC♪	すいち	新領地-44,678	-44	678		
DC♪	すいち	新領地-43,680	-43	680		
DC♪	すいち	新領地-44,679	-44	679		
DC♪	すいち	新領地-42,680	-42	680		
DC♪	すいち	新領地-42,678	-42	678		
DC♪	すいち	新領地-152,773	-152	773		
DC♪	すいち	新領地-158,789	-158	789		
DC♪	すいち	新領地-154,784	-154	784		
DC♪	すいち	新領地-165,793	-165	793		
DC♪	すいち	新領地-181,795	-181	795		
DC♪	すいち	新領地-182,797	-182	797		
DC♪	すいち	新領地-178,795	-178	795		
DC♪	すいち	新領地-156,799	-156	799		
DC♪	すいち	新領地-175,782	-175	782		
DC♪	すいち	新領地-176,782	-176	782		
DC♪	すいち	新領地-178,784	-178	784		
DC♪	すいち	新領地-179,784	-179	784		
DC♪	すいち	新領地-180,785	-180	785		
DC♪	すいち	新領地-181,785	-181	785		
DC♪	すいち	新領地-182,783	-182	783		
DC♪	すいち	新領地-183,782	-183	782		
DC♪	すいち	新領地-157,799	-157	799		
DC♪	レクサス	WRANGLER	-581	350	793	1
DC♪	レクサス	WR1-600,391	-600	391	681	
DC♪	レクサス	WR2-284,302	-284	302	92	
DC♪	レクサス	新規砦-304,309	-304	309	2	
DC♪	レクサス	新領地-581,351	-581	351		
DC♪	レクサス	新領地-575,351	-575	351		
DC♪	レクサス	新領地-582,359	-582	359		
DC♪	レクサス	新領地-586,357	-586	357		
DC♪	レクサス	新領地-110,666	-110	666		
DC♪	レクサス	新領地-109,666	-109	666		
DC♪	レクサス	新領地-582,367	-582	367		
DC♪	レクサス	新領地-598,387	-598	387		
DC♪	レクサス	新領地-599,386	-599	386		
DC♪	レクサス	新領地-600,388	-600	388		
DC♪	レクサス	新領地-621,400	-621	400		
DC♪	レクサス	新領地-598,389	-598	389		
DC♪	レクサス	新領地-639,421	-639	421		
DC♪	レクサス	新領地-627,407	-627	407		
DC♪	レクサス	新領地-591,372	-591	372		
DC♪	レクサス	新領地-580,349	-580	349		
DC♪	レクサス	新領地-581,349	-581	349		
DC♪	レクサス	新領地-582,351	-582	351		
DC♪	レクサス	新領地-582,350	-582	350		
DC♪	レクサス	新領地-580,351	-580	351		
DC♪	レクサス	新領地-582,349	-582	349		
DC♪	レクサス	新領地-580,350	-580	350		
DC♪	レクサス	新領地-579,351	-579	351		
DC♪	レクサス	新領地-579,350	-579	350		
DC♪	レクサス	新領地-579,349	-579	349		
DC♪	レクサス	新領地-578,349	-578	349		
DC♪	レクサス	新領地-578,350	-578	350		
DC♪	レクサス	新領地-578,351	-578	351		
