同盟	君主	領地名	X	Y	人口	本拠
FN	白夜コウ	Ｒ＆Ｙ	-126	-640	825	1
FN	白夜コウ	亮二	-447	-622	314	
FN	白夜コウ	新規村-576,-717	-576	-717	674	
FN	白夜コウ	新領地-127,-637	-127	-637		
FN	白夜コウ	新領地-122,-637	-122	-637		
FN	白夜コウ	新領地-128,-620	-128	-620		
FN	白夜コウ	新領地-127,-638	-127	-638		
FN	白夜コウ	新領地-451,-623	-451	-623		
FN	白夜コウ	新領地-123,-639	-123	-639		
FN	白夜コウ	新領地-122,-636	-122	-636		
FN	白夜コウ	新領地-576,-719	-576	-719		
FN	白夜コウ	新領地-574,-714	-574	-714		
FN	白夜コウ	新領地-579,-721	-579	-721		
FN	白夜コウ	新領地-656,-13	-656	-13		
FN	白夜コウ	新領地-679,-775	-679	-775		
FN	白夜コウ	新領地-489,-638	-489	-638		
FN	白夜コウ	新領地-488,-637	-488	-637		
FN	白夜コウ	新領地-665,-798	-665	-798		
FN	白夜コウ	新領地-656,-796	-656	-796		
FN	白夜コウ	新領地-663,-798	-663	-798		
FN	白夜コウ	新領地-640,-798	-640	-798		
FN	白夜コウ	新領地-635,-796	-635	-796		
FN	白夜コウ	新領地-624,-795	-624	-795		
FN	白夜コウ	新領地-628,-795	-628	-795		
FN	白夜コウ	新領地-643,-773	-643	-773		
FN	白夜コウ	新領地-662,-788	-662	-788		
FN	白夜コウ	新領地-655,-795	-655	-795		
FN	白夜コウ	新領地-655,-800	-655	-800		
FN	白夜コウ	新領地-662,-798	-662	-798		
FN	白夜コウ	新領地-661,-799	-661	-799		
FN	白夜コウ	新領地-663,-789	-663	-789		
FN	白夜コウ	新領地-654,-800	-654	-800		
FN	OUTLAW	◆OUTRAGEOUS◆	-277	-590	643	1
FN	OUTLAW	◆修羅の群れ◆	-719	33	425	
FN	OUTLAW	◆修羅の統一◆	-264	-587	146	
FN	OUTLAW	新規砦-397,-576	-397	-576	3	
FN	OUTLAW	◆9糧-273,-576	-273	-576		
FN	OUTLAW	新領地-274,-578	-274	-578		
FN	OUTLAW	新領地-265,-577	-265	-577		
FN	OUTLAW	2◆9糧-721,4	-721	4		
FN	OUTLAW	3◆9糧-718,7	-718	7		
FN	OUTLAW	4◆9糧-778,66	-778	66		
FN	OUTLAW	◆９鉄-774,68	-774	68		
FN	OUTLAW	▲9糧-233,-585	-233	-585		
FN	OUTLAW	▲9糧-233,-579	-233	-579		
FN	OUTLAW	▲8糧-716,30	-716	30		
FN	OUTLAW	5◆9糧-718,30	-718	30		
FN	OUTLAW	▲9糧-759,72	-759	72		
FN	OUTLAW	新領地-711,34	-711	34		
FN	OUTLAW	1◆9糧-703,39	-703	39		
FN	OUTLAW	◇９岩-706,42	-706	42		
FN	OUTLAW	新領地-704,32	-704	32		
FN	OUTLAW	新領地-705,33	-705	33		
FN	OUTLAW	新領地-510,-644	-510	-644		
FN	OUTLAW	新領地-287,-686	-287	-686		
FN	なりたたいしん	なりた-509,-447	-509	-447	671	1
FN	なりたたいしん	新規村-164,-698	-164	-698	144	
FN	なりたたいしん	新規村-550,-777	-550	-777	114	
FN	なりたたいしん	新規村-552,-777	-552	-777	75	
FN	なりたたいしん	新領地-509,-448	-509	-448		
FN	なりたたいしん	新領地-509,-449	-509	-449		
FN	なりたたいしん	新領地-508,-447	-508	-447		
FN	なりたたいしん	新領地-509,-444	-509	-444		
FN	なりたたいしん	新領地-508,-442	-508	-442		
FN	なりたたいしん	新領地-510,-441	-510	-441		
FN	なりたたいしん	新領地-511,-441	-511	-441		
FN	なりたたいしん	新領地-507,-446	-507	-446		
FN	なりたたいしん	新領地-510,-448	-510	-448		
FN	なりたたいしん	新領地-511,-448	-511	-448		
FN	なりたたいしん	新領地-511,-449	-511	-449		
FN	なりたたいしん	新領地-512,-451	-512	-451		
FN	なりたたいしん	新領地-163,-697	-163	-697		
FN	なりたたいしん	新領地-161,-697	-161	-697		
FN	なりたたいしん	新領地-155,-698	-155	-698		
FN	なりたたいしん	新領地-163,-699	-163	-699		
FN	なりたたいしん	新領地-163,-696	-163	-696		
FN	なりたたいしん	新領地-508,-445	-508	-445		
FN	なりたたいしん	新領地-550,-770	-550	-770		
FN	なりたたいしん	新領地-552,-772	-552	-772		
FN	なりたたいしん	新領地-551,-778	-551	-778		
FN	なりたたいしん	新領地-551,-779	-551	-779		
FN	なりたたいしん	新領地-551,-777	-551	-777		
FN	なりたたいしん	新領地-509,-445	-509	-445		
FN	なりたたいしん	新領地-510,-445	-510	-445		
FN	なりたたいしん	新領地-511,-445	-511	-445		
FN	なりたたいしん	新領地-511,-446	-511	-446		
FN	なりたたいしん	新領地-508,-448	-508	-448		
FN	なりたたいしん	新領地-508,-446	-508	-446		
FN	なりたたいしん	新領地-511,-447	-511	-447		
FN	蜂の武蔵	尻氏参上	-589	-293	805	1
FN	蜂の武蔵	π氏降臨	-585	-289	381	
FN	蜂の武蔵	ふんふん爆発	-433	-659	176	
FN	蜂の武蔵	でぇでぇ連発	-416	-576	53	
FN	蜂の武蔵	新領地-588,-288	-588	-288		
FN	蜂の武蔵	新領地-554,-329	-554	-329		
FN	蜂の武蔵	新領地-588,-289	-588	-289		
FN	蜂の武蔵	新領地-418,-597	-418	-597		
FN	蜂の武蔵	新領地-426,-602	-426	-602		
FN	蜂の武蔵	新領地-437,-611	-437	-611		
FN	蜂の武蔵	新領地-586,-289	-586	-289		
FN	蜂の武蔵	新領地-585,-288	-585	-288		
FN	蜂の武蔵	新領地-584,-289	-584	-289		
FN	蜂の武蔵	新領地-584,-288	-584	-288		
FN	蜂の武蔵	新領地-586,-290	-586	-290		
FN	蜂の武蔵	新領地-450,-645	-450	-645		
FN	蜂の武蔵	新領地-442,-672	-442	-672		
FN	蜂の武蔵	新領地-20,-658	-20	-658		
FN	蜂の武蔵	新領地-22,-659	-22	-659		
FN	蜂の武蔵	新領地-24,-658	-24	-658		
FN	蜂の武蔵	新領地-464,-683	-464	-683		
FN	蜂の武蔵	新領地-508,-725	-508	-725		
FN	蜂の武蔵	新領地-435,-659	-435	-659		
FN	蜂の武蔵	新領地-687,-729	-687	-729		
FN	蜂の武蔵	新領地-688,-730	-688	-730		
FN	蜂の武蔵	新領地-434,-660	-434	-660		
FN	蜂の武蔵	新領地-549,-767	-549	-767		
FN	蜂の武蔵	新領地-550,-765	-550	-765		
FN	蜂の武蔵	新領地-406,-583	-406	-583		
FN	蜂の武蔵	新領地-415,-576	-415	-576		
FN	蜂の武蔵	新領地-416,-575	-416	-575		
FN	蜂の武蔵	新領地-417,-576	-417	-576		
FN	蜂の武蔵	新領地-402,-587	-402	-587		
FN	蜂の武蔵	新領地-403,-586	-403	-586		
FN	蜂の武蔵	新領地-408,-579	-408	-579		
FN	蜂の武蔵	新領地-409,-580	-409	-580		
FN	蜂の武蔵	新領地-588,-293	-588	-293		
FN	蜂の武蔵	新領地-590,-292	-590	-292		
FN	蜂の武蔵	新領地-589,-294	-589	-294		
FN	蜂の武蔵	新領地-589,-292	-589	-292		
FN	蜂の武蔵	新領地-590,-293	-590	-293		
FN	蜂の武蔵	新領地-588,-294	-588	-294		
FN	蜂の武蔵	新領地-588,-292	-588	-292		
FN	蜂の武蔵	新領地-590,-294	-590	-294		
FN	嘘喰い牛凶	プロトポロス	-309	-580	483	1
FN	嘘喰い牛凶	新規村-173,-699	-173	-699	221	
FN	嘘喰い牛凶	新規砦-168,-699	-168	-699	91	
FN	嘘喰い牛凶	☆6鉄10その1	-306	-579		
FN	嘘喰い牛凶	新領地-305,-578	-305	-578		
FN	嘘喰い牛凶	☆6岩10その1	-309	-576		
FN	嘘喰い牛凶	新領地-304,-575	-304	-575		
FN	嘘喰い牛凶	☆6鉄10その2	-172	-699		
FN	嘘喰い牛凶	岩拠点①	-173	-700		
FN	嘘喰い牛凶	新領地-307,-582	-307	-582		
FN	嘘喰い牛凶	新領地-308,-582	-308	-582		
FN	嘘喰い牛凶	☆6木10その1	-168	-698		
FN	嘘喰い牛凶	木拠点①	-175	-697		
FN	嘘喰い牛凶	新領地-163,-713	-163	-713		
FN	嘘喰い牛凶	☆6岩10その2	-161	-709		
FN	嘘喰い牛凶	☆6木10その2	-161	-710		
FN	嘘喰い牛凶	☆6岩10その3	-161	-708		
FN	嘘喰い牛凶	☆6木10その3	-163	-709		
FN	嘘喰い牛凶	新領地-310,-581	-310	-581		
FN	嘘喰い牛凶	新領地-310,-579	-310	-579		
FN	嘘喰い牛凶	新領地-310,-580	-310	-580		
FN	嘘喰い牛凶	新領地-308,-579	-308	-579		
FN	嘘喰い牛凶	糧拠点①	-163	-712		
FN	嘘喰い牛凶	新領地-485,-664	-485	-664		
FN	嘘喰い牛凶	新領地-309,-579	-309	-579		
FN	嘘喰い牛凶	新領地-308,-580	-308	-580		
FN	嘘喰い牛凶	新領地-196,-719	-196	-719		
FN	嘘喰い牛凶	新領地-197,-718	-197	-718		
FN	嘘喰い牛凶	新領地-198,-718	-198	-718		
FN	嘘喰い牛凶	新領地-199,-718	-199	-718		
FN	嘘喰い牛凶	新領地-200,-717	-200	-717		
FN	嘘喰い牛凶	新領地-201,-716	-201	-716		
FN	嘘喰い牛凶	新領地-308,-581	-308	-581		
FN	嘘喰い牛凶	新領地-202,-716	-202	-716		
FN	嘘喰い牛凶	新領地-203,-715	-203	-715		
FN	嘘喰い牛凶	新領地-309,-581	-309	-581		
FN	嘘喰い牛凶	新領地-204,-715	-204	-715		
FN	嘘喰い牛凶	新領地-205,-714	-205	-714		
FN	嘘喰い牛凶	新領地-206,-714	-206	-714		
FN	嘘喰い牛凶	新領地-205,-713	-205	-713		
FN	嘘喰い牛凶	新領地-207,-714	-207	-714		
