同盟	君主	領地名	X	Y	人口	本拠
ふりむけば百熊。	～Ｄｅｅｐ～	(*´з`)ノＤｅｅｐ	-178	-653	1144	1
ふりむけば百熊。	～Ｄｅｅｐ～	～①～-636-637	-636	-637	744	
ふりむけば百熊。	～Ｄｅｅｐ～	～②～-749-713	-749	-713	382	
ふりむけば百熊。	～Ｄｅｅｐ～	～③～-542-520	-542	-520	195	
ふりむけば百熊。	～Ｄｅｅｐ～	～④～-728-378	-728	-378	165	
ふりむけば百熊。	～Ｄｅｅｐ～	Deep出張砦★5-②	-769	-676	2	
ふりむけば百熊。	～Ｄｅｅｐ～	Deep出張砦★5-④	-199	-682	2	
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-176,-657	-176	-657		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-175,-659	-175	-659		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-180,-659	-180	-659		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-574,-353	-574	-353		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-636,-635	-636	-635		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-638,-635	-638	-635		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-640,-634	-640	-634		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-642,-639	-642	-639		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-633,-638	-633	-638		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-632,-638	-632	-638		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-631,-637	-631	-637		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-637,-597	-637	-597		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-415,-633	-415	-633		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-415,-638	-415	-638		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-414,-640	-414	-640		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-544,-522	-544	-522		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-539,-520	-539	-520		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-545,-523	-545	-523		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-541,-519	-541	-519		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-748,-713	-748	-713		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-751,-714	-751	-714		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-657,-442	-657	-442		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-727,-372	-727	-372		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-732,-553	-732	-553		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-731,-554	-731	-554		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-614,-532	-614	-532		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-177,-654	-177	-654		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-179,-653	-179	-653		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-178,-652	-178	-652		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-179,-652	-179	-652		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-177,-652	-177	-652		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-177,-653	-177	-653		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-179,-654	-179	-654		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-178,-654	-178	-654		
ふりむけば百熊。	～Ｄｅｅｐ～	新領地-746,-620	-746	-620		
ふりむけば百熊。	きんた	デルタベルン	-529	-423	541	1
ふりむけば百熊。	きんた	●ω●	-573	-532	931	
ふりむけば百熊。	きんた	新規砦-680,-68	-680	-68	2	
ふりむけば百熊。	きんた	%ω%	-766	-709	150	
ふりむけば百熊。	きんた	新規砦-581,-507	-581	-507	2	
ふりむけば百熊。	きんた	mωg	-720	-360	23	
ふりむけば百熊。	きんた	新領地-533,-426	-533	-426		
ふりむけば百熊。	きんた	新領地-549,-500	-549	-500		
ふりむけば百熊。	きんた	新領地-528,-424	-528	-424		
ふりむけば百熊。	きんた	新領地-530,-423	-530	-423		
ふりむけば百熊。	きんた	新領地-529,-424	-529	-424		
ふりむけば百熊。	きんた	新領地-530,-424	-530	-424		
ふりむけば百熊。	きんた	新領地-528,-423	-528	-423		
ふりむけば百熊。	きんた	新領地-500,-444	-500	-444		
ふりむけば百熊。	きんた	新領地-498,-443	-498	-443		
ふりむけば百熊。	きんた	新領地-528,-422	-528	-422		
ふりむけば百熊。	きんた	新領地29,-680	29	-680		
ふりむけば百熊。	きんた	新領地-529,-422	-529	-422		
ふりむけば百熊。	きんた	新領地-525,-521	-525	-521		
