同盟	君主	領地名	X	Y	人口	本拠
★ゴン太王国★	KaichoX	隠居	469	479	1363	1
★ゴン太王国★	KaichoX	新規村465,476	465	476	32	
★ゴン太王国★	KaichoX	新規村761,509	761	509	2	
★ゴン太王国★	KaichoX	新領地770,509	770	509		
★ゴン太王国★	KaichoX	新領地771,509	771	509		
★ゴン太王国★	KaichoX	新領地770,508	770	508		
★ゴン太王国★	KaichoX	新領地770,507	770	507		
★ゴン太王国★	KaichoX	新領地771,507	771	507		
★ゴン太王国★	KaichoX	新領地772,508	772	508		
★ゴン太王国★	KaichoX	新領地772,509	772	509		
★ゴン太王国★	KaichoX	新領地772,507	772	507		
★ゴン太王国★	KaichoX	新領地765,510	765	510		
★ゴン太王国★	KaichoX	新領地770,510	770	510		
★ゴン太王国★	KaichoX	新領地198,683	198	683		
★ゴン太王国★	KaichoX	新領地470,480	470	480		
★ゴン太王国★	ヒロ51	HERO城564,370	564	370	876	1
★ゴン太王国★	ヒロ51	新規村577,402	577	402	1107	
★ゴン太王国★	ヒロ51	新規村719,99	719	99	620	
★ゴン太王国★	ヒロ51	新規村578,418	578	418	2	
★ゴン太王国★	ヒロ51	新規村722,78	722	78	2	
★ゴン太王国★	ヒロ51	新領地551,372	551	372		
★ゴン太王国★	ヒロ51	新領地597,289	597	289		
★ゴン太王国★	ヒロ51	新領地565,374	565	374		
★ゴン太王国★	ヒロ51	新領地500,470	500	470		
★ゴン太王国★	ヒロ51	新領地587,416	587	416		
★ゴン太王国★	ヒロ51	新領地574,399	574	399		
★ゴン太王国★	ヒロ51	新領地682,507	682	507		
★ゴン太王国★	ヒロ51	新領地129,748	129	748		
★ゴン太王国★	ヒロ51	新領地724,87	724	87		
★ゴン太王国★	ヒロ51	新領地726,85	726	85		
★ゴン太王国★	ヒロ51	新領地701,484	701	484		
★ゴン太王国★	ヒロ51	新領地700,484	700	484		
★ゴン太王国★	ヒロ51	新領地283,511	283	511		
★ゴン太王国★	ヒロ51	新領地573,349	573	349		
★ゴン太王国★	ヒロ51	新領地722,98	722	98		
★ゴン太王国★	ヒロ51	新領地720,98	720	98		
★ゴン太王国★	ヒロ51	新領地723,97	723	97		
★ゴン太王国★	ヒロ51	新領地724,97	724	97		
★ゴン太王国★	ヒロ51	新領地725,96	725	96		
★ゴン太王国★	ヒロ51	新領地724,96	724	96		
★ゴン太王国★	ヒロ51	新領地718,99	718	99		
★ゴン太王国★	ヒロ51	新領地726,95	726	95		
★ゴン太王国★	ヒロ51	新領地721,97	721	97		
★ゴン太王国★	ヒロ51	新領地718,80	718	80		
★ゴン太王国★	ヒロ51	新領地578,407	578	407		
★ゴン太王国★	ヒロ51	新領地577,410	577	410		
★ゴン太王国★	ヒロ51	新領地721,78	721	78		
★ゴン太王国★	ヒロ51	新領地571,414	571	414		
★ゴン太王国★	ヒロ51	新領地642,462	642	462		
★ゴン太王国★	ヒロ51	新領地570,418	570	418		
★ゴン太王国★	ヒロ51	新領地573,409	573	409		
★ゴン太王国★	ヒロ51	新領地570,415	570	415		
★ゴン太王国★	ヒロ51	新領地574,413	574	413		
★ゴン太王国★	ヒロ51	新領地576,417	576	417		
★ゴン太王国★	ヒロ51	新領地577,417	577	417		
★ゴン太王国★	ヒロ51	新領地571,415	571	415		
★ゴン太王国★	ヒロ51	新領地613,489	613	489		
★ゴン太王国★	ヒロ51	新領地730,59	730	59		
★ゴン太王国★	ヒロ51	新領地729,52	729	52		
★ゴン太王国★	ヒロ51	新領地731,58	731	58		
★ゴン太王国★	ヒロ51	新領地728,57	728	57		
★ゴン太王国★	ヒロ51	新領地728,59	728	59		
★ゴン太王国★	ヒロ51	新領地729,58	729	58		
★ゴン太王国★	ヒロ51	新領地579,419	579	419		
★ゴン太王国★	★ゴン太★	☆★サンクチュアリ★☆	660	81	630	1
★ゴン太王国★	★ゴン太★	☆★アスガルド★☆	658	87	306	
★ゴン太王国★	★ゴン太★	☆★十二宮★☆	659	83	256	
★ゴン太王国★	★ゴン太★	☆★ポセイドン神殿★☆	661	82	341	
★ゴン太王国★	★ゴン太★	☆★冥界★☆	665	81	44	
★ゴン太王国★	★ゴン太★	661,84★5石	661	84		
★ゴン太王国★	★ゴン太★	662,86★5木	662	86		
★ゴン太王国★	★ゴン太★	662,87★6木N	662	87		
★ゴン太王国★	★ゴン太★	660,85★7糧	660	85		
★ゴン太王国★	★ゴン太★	663,86★6鉄	663	86		
★ゴン太王国★	★ゴン太★	664,86★6鉄	664	86		
★ゴン太王国★	★ゴン太★	661,85★6鉄	661	85		
★ゴン太王国★	★ゴン太★	663,83★6鉄	663	83		
★ゴン太王国★	★ゴン太★	660,89★5良	660	89		
★ゴン太王国★	★ゴン太★	660,90★6木	660	90		
★ゴン太王国★	★ゴン太★	659,82★5良	659	82		
★ゴン太王国★	★ゴン太★	664,82★3糧1	664	82		
★ゴン太王国★	Boob	新規城332,565	332	565	403	1
★ゴン太王国★	Boob	新規村639,463	639	463	27	
★ゴン太王国★	Boob	新規砦606,482	606	482	2	
★ゴン太王国★	Boob	新規砦745,700	745	700	2	
★ゴン太王国★	Boob	新規砦594,466	594	466	2	
★ゴン太王国★	Boob	新領地332,566	332	566		
★ゴン太王国★	Boob	新領地630,453	630	453		
★ゴン太王国★	Boob	新領地639,462	639	462		
★ゴン太王国★	Boob	新領地643,465	643	465		
★ゴン太王国★	Boob	新領地572,395	572	395		
★ゴン太王国★	Boob	新領地706,532	706	532		
★ゴン太王国★	Boob	新領地690,549	690	549		
★ゴン太王国★	Boob	新領地505,417	505	417		
★ゴン太王国★	Boob	新領地640,463	640	463		
★ゴン太王国★	Boob	新領地732,595	732	595		
★ゴン太王国★	Boob	新領地732,594	732	594		
★ゴン太王国★	Boob	新領地733,593	733	593		
★ゴン太王国★	Boob	新領地734,593	734	593		
★ゴン太王国★	Boob	新領地735,594	735	594		
★ゴン太王国★	Boob	新領地736,593	736	593		
★ゴン太王国★	Boob	新領地737,592	737	592		
★ゴン太王国★	Boob	新領地738,591	738	591		
★ゴン太王国★	Boob	新領地739,591	739	591		
★ゴン太王国★	Boob	新領地740,591	740	591		
★ゴン太王国★	Boob	新領地741,592	741	592		
★ゴン太王国★	Boob	新領地742,593	742	593		
★ゴン太王国★	Boob	新領地742,592	742	592		
★ゴン太王国★	Boob	新領地743,594	743	594		
★ゴン太王国★	Boob	新領地731,596	731	596		
★ゴン太王国★	Boob	新領地746,701	746	701		
★ゴン太王国★	DrinkOrDie	金曜日のライオン	449	504	775	1
★ゴン太王国★	DrinkOrDie	1974	441	501	960	
★ゴン太王国★	DrinkOrDie	ACCIDENT	643	505	319	
★ゴン太王国★	DrinkOrDie	新規砦743,575	743	575	2	
★ゴン太王国★	DrinkOrDie	新規砦736,499	736	499	2	
★ゴン太王国★	DrinkOrDie	新領地451,506	451	506		
★ゴン太王国★	DrinkOrDie	新領地463,505	463	505		
★ゴン太王国★	DrinkOrDie	新領地463,504	463	504		
★ゴン太王国★	DrinkOrDie	新領地464,504	464	504		
★ゴン太王国★	DrinkOrDie	新領地465,504	465	504		
★ゴン太王国★	DrinkOrDie	新領地686,507	686	507		
★ゴン太王国★	DrinkOrDie	新領地688,509	688	509		
★ゴン太王国★	DrinkOrDie	新領地685,507	685	507		
★ゴン太王国★	DrinkOrDie	新領地577,399	577	399		
