同盟	君主	領地名	X	Y	人口	本拠
ねこめす(仮)	ドド	ドド嬢	-520	420	1020	1
ねこめす(仮)	ドド	ドド拠点ポポ	-288	544	787	
ねこめす(仮)	ドド	ドド拠点モモ	-690	-292	316	
ねこめす(仮)	ドド	ドド拠点トト	-754	133	135	
ねこめす(仮)	ドド	新規砦-722,-271	-722	-271	2	
ねこめす(仮)	ドド	新領地-513,423	-513	423		
ねこめす(仮)	ドド	新領地-524,419	-524	419		
ねこめす(仮)	ドド	新領地-286,545	-286	545		
ねこめす(仮)	ドド	新領地-690,-293	-690	-293		
ねこめす(仮)	ドド	新領地-674,-261	-674	-261		
ねこめす(仮)	ドド	新領地-214,227	-214	227		
ねこめす(仮)	ドド	新領地-214,226	-214	226		
ねこめす(仮)	ドド	新領地-215,225	-215	225		
ねこめす(仮)	ドド	新領地-216,222	-216	222		
ねこめす(仮)	ドド	新領地-219,220	-219	220		
ねこめす(仮)	ドド	新領地-220,219	-220	219		
ねこめす(仮)	ドド	新領地-216,224	-216	224		
ねこめす(仮)	ドド	新領地-221,217	-221	217		
ねこめす(仮)	ドド	新領地-222,216	-222	216		
ねこめす(仮)	ドド	新領地-222,215	-222	215		
ねこめす(仮)	ドド	新領地-221,218	-221	218		
ねこめす(仮)	ドド	新領地-698,306	-698	306		
ねこめす(仮)	ドド	新領地-95,88	-95	88		
ねこめす(仮)	ドド	新領地-224,213	-224	213		
ねこめす(仮)	ドド	新領地-225,213	-225	213		
ねこめす(仮)	ドド	新領地-228,212	-228	212		
ねこめす(仮)	ドド	新領地-223,214	-223	214		
ねこめす(仮)	ドド	新領地-130,108	-130	108		
ねこめす(仮)	Pit	lord-of-Pit	-337	589	1019	1
ねこめす(仮)	Pit	新規村-632,270	-632	270	2	
ねこめす(仮)	Pit	Persecuter	-613	261	550	
ねこめす(仮)	Pit	新領地-330,590	-330	590		
ねこめす(仮)	Pit	新領地-614,263	-614	263		
ねこめす(仮)	Pit	新領地-486,441	-486	441		
ねこめす(仮)	Pit	新領地-442,489	-442	489		
ねこめす(仮)	Pit	新領地-43,662	-43	662		
ねこめす(仮)	Pit	新領地-59,634	-59	634		
ねこめす(仮)	Pit	新領地-62,634	-62	634		
ねこめす(仮)	Pit	新領地-58,631	-58	631		
ねこめす(仮)	Pit	新領地-337,590	-337	590		
ねこめす(仮)	Pit	新領地-338,589	-338	589		
ねこめす(仮)	Pit	新領地-336,588	-336	588		
ねこめす(仮)	Pit	新領地-441,526	-441	526		
ねこめす(仮)	Pit	新領地-440,528	-440	528		
ねこめす(仮)	Pit	新領地-609,263	-609	263		
ねこめす(仮)	Pit	新領地-611,265	-611	265		
ねこめす(仮)	Pit	新領地-617,270	-617	270		
ねこめす(仮)	Pit	新領地-618,269	-618	269		
ねこめす(仮)	Pit	新領地-633,270	-633	270		
ねこめす(仮)	Pit	新領地-637,273	-637	273		
ねこめす(仮)	Pit	新領地-636,269	-636	269		
ねこめす(仮)	HANABI	超ほっとっとタイム!!	-626	-215	1069	1
ねこめす(仮)	HANABI	ぐっな～あ～い	-631	-207	207	
ねこめす(仮)	HANABI	ビュ～ティフォー!!	-427	-162	308	
ねこめす(仮)	HANABI	カカカカモーン!!	-455	1	216	
ねこめす(仮)	HANABI	新規砦-554,-155	-554	-155	201	
ねこめす(仮)	HANABI	新領地-615,-215	-615	-215		
ねこめす(仮)	HANABI	新領地-593,-196	-593	-196		
ねこめす(仮)	HANABI	新領地-562,-142	-562	-142		
ねこめす(仮)	HANABI	新領地-563,-141	-563	-141		
ねこめす(仮)	HANABI	新領地-424,-159	-424	-159		
ねこめす(仮)	HANABI	新領地-573,-133	-573	-133		
ねこめす(仮)	HANABI	新領地-574,-134	-574	-134		
ねこめす(仮)	HANABI	新領地-568,-135	-568	-135		
ねこめす(仮)	HANABI	新領地-567,-134	-567	-134		
ねこめす(仮)	HANABI	新領地-566,-133	-566	-133		
ねこめす(仮)	HANABI	新領地-565,-132	-565	-132		
ねこめす(仮)	HANABI	新領地-572,-133	-572	-133		
ねこめす(仮)	HANABI	新領地-457,-9	-457	-9		
ねこめす(仮)	HANABI	新領地-455,2	-455	2		
ねこめす(仮)	HANABI	新領地-454,2	-454	2		
ねこめす(仮)	HANABI	新領地-453,2	-453	2		
