同盟	君主	領地名	X	Y	人口	本拠
替天行道総本部	￡シャルル￡	ウルバァリン	434	517	732	1
替天行道総本部	￡シャルル￡	ミスティーク	425	427	949	
替天行道総本部	￡シャルル￡	アイスマン	384	752	933	
替天行道総本部	￡シャルル￡	ストーム	656	798	1287	
替天行道総本部	￡シャルル￡	サイクロップス	755	786	1159	
替天行道総本部	￡シャルル￡	サンファイア	76	791	796	
替天行道総本部	￡シャルル￡	デッドプール	332	659	750	
替天行道総本部	￡シャルル￡	カリスト	563	785	1090	
替天行道総本部	￡シャルル￡	新規砦395,223	395	223	2	
替天行道総本部	￡シャルル￡	新領地439,520	439	520		
替天行道総本部	￡シャルル￡	新領地440,525	440	525		
替天行道総本部	￡シャルル￡	新領地441,525	441	525		
替天行道総本部	￡シャルル￡	新領地439,523	439	523		
替天行道総本部	￡シャルル￡	新領地426,426	426	426		
替天行道総本部	￡シャルル￡	新領地427,426	427	426		
替天行道総本部	￡シャルル￡	新領地428,426	428	426		
替天行道総本部	￡シャルル￡	新領地427,428	427	428		
替天行道総本部	￡シャルル￡	新領地386,750	386	750		
替天行道総本部	￡シャルル￡	新領地387,747	387	747		
替天行道総本部	￡シャルル￡	新領地386,749	386	749		
替天行道総本部	￡シャルル￡	新領地382,747	382	747		
替天行道総本部	￡シャルル￡	新領地445,748	445	748		
替天行道総本部	￡シャルル￡	新領地443,741	443	741		
替天行道総本部	￡シャルル￡	新領地444,741	444	741		
替天行道総本部	￡シャルル￡	新領地442,742	442	742		
替天行道総本部	￡シャルル￡	新領地437,735	437	735		
替天行道総本部	￡シャルル￡	新領地435,740	435	740		
替天行道総本部	￡シャルル￡	新領地73,783	73	783		
替天行道総本部	￡シャルル￡	新領地75,783	75	783		
替天行道総本部	￡シャルル￡	新領地79,786	79	786		
替天行道総本部	￡シャルル￡	新領地78,793	78	793		
替天行道総本部	￡シャルル￡	新領地75,791	75	791		
替天行道総本部	￡シャルル￡	新領地81,793	81	793		
替天行道総本部	￡シャルル￡	新領地88,793	88	793		
替天行道総本部	￡シャルル￡	新領地86,798	86	798		
替天行道総本部	￡シャルル￡	新領地636,776	636	776		
替天行道総本部	￡シャルル￡	新領地658,779	658	779		
替天行道総本部	￡シャルル￡	新領地660,778	660	778		
替天行道総本部	￡シャルル￡	新領地661,777	661	777		
替天行道総本部	￡シャルル￡	新領地649,780	649	780		
替天行道総本部	￡シャルル￡	新領地648,780	648	780		
替天行道総本部	￡シャルル￡	新領地660,780	660	780		
替天行道総本部	￡シャルル￡	新領地678,780	678	780		
替天行道総本部	￡シャルル￡	新領地680,778	680	778		
替天行道総本部	￡シャルル￡	新領地678,782	678	782		
替天行道総本部	￡シャルル￡	新領地679,782	679	782		
替天行道総本部	￡シャルル￡	新領地670,778	670	778		
替天行道総本部	￡シャルル￡	新領地677,784	677	784		
替天行道総本部	￡シャルル￡	新領地634,781	634	781		
替天行道総本部	￡シャルル￡	新領地615,789	615	789		
替天行道総本部	￡シャルル￡	新領地636,783	636	783		
替天行道総本部	￡シャルル￡	新領地618,781	618	781		
替天行道総本部	￡シャルル￡	新領地619,781	619	781		
替天行道総本部	￡シャルル￡	新領地620,781	620	781		
替天行道総本部	￡シャルル￡	新領地613,790	613	790		
替天行道総本部	￡シャルル￡	新領地617,791	617	791		
替天行道総本部	￡シャルル￡	新領地608,794	608	794		
替天行道総本部	￡シャルル￡	新領地612,795	612	795		
替天行道総本部	￡シャルル￡	新領地611,796	611	796		
替天行道総本部	￡シャルル￡	新領地614,798	614	798		
替天行道総本部	￡シャルル￡	新領地614,790	614	790		
替天行道総本部	￡シャルル￡	新領地755,785	755	785		
替天行道総本部	￡シャルル￡	新領地591,797	591	797		
替天行道総本部	￡シャルル￡	新領地589,799	589	799		
替天行道総本部	￡シャルル￡	新領地586,799	586	799		
替天行道総本部	￡シャルル￡	新領地590,800	590	800		
替天行道総本部	￡シャルル￡	新領地592,795	592	795		
替天行道総本部	￡シャルル￡	新領地570,795	570	795		
替天行道総本部	￡シャルル￡	新領地591,796	591	796		
替天行道総本部	￡シャルル￡	新領地572,800	572	800		
替天行道総本部	￡シャルル￡	新領地565,793	565	793		
替天行道総本部	￡シャルル￡	新領地564,794	564	794		
替天行道総本部	￡シャルル￡	新領地560,795	560	795		
替天行道総本部	￡シャルル￡	新領地561,789	561	789		
替天行道総本部	￡シャルル￡	新領地567,794	567	794		
替天行道総本部	￡シャルル￡	新領地566,781	566	781		
替天行道総本部	￡シャルル￡	新領地564,782	564	782		
替天行道総本部	￡シャルル￡	新領地554,778	554	778		
替天行道総本部	￡シャルル￡	新領地554,777	554	777		
替天行道総本部	￡シャルル￡	新領地551,781	551	781		
替天行道総本部	￡シャルル￡	新領地77,791	77	791		
替天行道総本部	￡シャルル￡	新領地78,789	78	789		
替天行道総本部	￡シャルル￡	新領地78,788	78	788		
替天行道総本部	￡シャルル￡	新領地73,787	73	787		
替天行道総本部	￡シャルル￡	新領地72,787	72	787		
替天行道総本部	￡シャルル￡	新領地73,786	73	786		
替天行道総本部	￡シャルル￡	新領地87,793	87	793		
替天行道総本部	￡シャルル￡	新領地88,792	88	792		
替天行道総本部	￡シャルル￡	新領地86,793	86	793		
替天行道総本部	￡シャルル￡	新領地75,788	75	788		
替天行道総本部	￡シャルル￡	新領地75,787	75	787		
替天行道総本部	￡シャルル￡	新領地84,797	84	797		
替天行道総本部	￡シャルル￡	新領地81,800	81	800		
替天行道総本部	￡シャルル￡	新領地546,781	546	781		
替天行道総本部	￡シャルル￡	新領地544,782	544	782		
替天行道総本部	￡シャルル￡	新領地656,799	656	799		
替天行道総本部	￡シャルル￡	新領地642,328	642	328		
替天行道総本部	￡シャルル￡	新領地575,750	575	750		
替天行道総本部	￡シャルル￡	新領地575,754	575	754		
替天行道総本部	￡シャルル￡	新領地577,754	577	754		
替天行道総本部	￡シャルル￡	新領地574,756	574	756		
替天行道総本部	￡シャルル￡	新領地574,750	574	750		
替天行道総本部	￡シャルル￡	新領地528,749	528	749		
替天行道総本部	￡シャルル￡	新領地128,352	128	352		
替天行道総本部	￡シャルル￡	新領地159,131	159	131		
替天行道総本部	￡シャルル￡	新領地505,769	505	769		
替天行道総本部	￡シャルル￡	新領地657,745	657	745		
替天行道総本部	￡シャルル￡	新領地656,744	656	744		
替天行道総本部	￡シャルル￡	新領地202,335	202	335		
替天行道総本部	￡シャルル￡	新領地661,746	661	746		
替天行道総本部	カミーユビダン	効かぬ、効かぬのだトキ！	528	420	668	1
替天行道総本部	カミーユビダン	新規砦554,413	554	413	968	
替天行道総本部	カミーユビダン	新規砦77,193	77	193	581	
替天行道総本部	カミーユビダン	新規砦426,160	426	160	363	
替天行道総本部	カミーユビダン	新規砦428,161	428	161	370	
替天行道総本部	カミーユビダン	新規砦415,769	415	769	224	
替天行道総本部	カミーユビダン	新規砦750,222	750	222	2	
替天行道総本部	カミーユビダン	新領地527,421	527	421		
替天行道総本部	カミーユビダン	新領地549,418	549	418		
