砦			隣接同盟								隣接君主								★								
砦	★	制圧	北西	北	北東	南西	南	南東	西	東	北西	北	北東	南西	南	南東	西	東	北西	北	北東	南西	南	南東	西	東	
北東砦635(774,770)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	ドラえもん	ドラえもん	ドラえもん	ドラえもん	ドラえもん	ドラえもん	ドラえもん	ドラえもん	4	5	4	1	4	4	6	4
北東砦634(769,725)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	ぽきーる	かなぴょん	ぽきーる	かなぴょん	ぽきーる	ぽきーる	かなぴょん	ぽきーる	3	1	2	2	1	4	2	2
北東砦633(767,681)	2	-	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	替天行道総本部	諸葛玄	ya-ma	ばぶ～ちゃん	ちーぱお	ya-ma	ばぶ～ちゃん	はっしー	ばぶ～ちゃん	1	0	4	0	1	3	2	6
北東砦632(773,638)	5	-		替天行道総本部			替天行道総本部			替天行道総本部		ばびぶべいびー			かなぴょん			りらりら	3	1	1	2	1	4	4	2
北東砦631(774,593)	5	-	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	替天行道総本部	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★		瑛瑠	瑛瑠	瑛瑠	ガウォーク	フロ２	瑛瑠	フロ２		1	3	1	5	1	1	2	3
北東砦630(767,552)	2	-				★ゴン太王国★			★ゴン太王国★					たいがー＆			モジモジ君		2	3	4	2	4	3	4	1
北東砦629(771,508)	4	-	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	★ゴン太王国★	kool	kool	kool	kool	kool	kool	kool	kool	3	3	4	4	1	5	2	2
北東砦628(766,464)	1	-				FOXHOUDN								アーム					4	2	5	2	2	2	2	4
北東砦627(772,420)	5	-																	4	2	2	2	5	6	5	5
北東砦626(774,372)	5	-				FOXHOUDN								彪					2	3	2	1	4	2	4	3
北東砦625(770,329)	2	-				FOXHOUDN			FOXHOUDN					あんまり			折耳		2	6	4	3	2	5	1	1
