同盟	君主	領地名	X	Y	人口	本拠
月家七武海	海部長	海城	555	-386	578	1
月家七武海	海部長	海鉄砦	543	-546	720	
月家七武海	海部長	海砦	441	-158	935	
月家七武海	海部長	海岩砦	520	-243	610	
月家七武海	海部長	海成砦	-220	-219	779	
月家七武海	海部長	海海砦	-153	68	385	
月家七武海	海部長	海僻砦	796	-784	204	
月家七武海	海部長	海win砦	-75	-186	328	
月家七武海	海部長	新規砦-172,22	-172	22	2	
月家七武海	海部長	新領地556,-386	556	-386		
月家七武海	海部長	新領地554,-371	554	-371		
月家七武海	海部長	新領地568,-371	568	-371		
月家七武海	海部長	新領地553,-327	553	-327		
月家七武海	海部長	新領地552,-328	552	-328		
月家七武海	海部長	新領地542,-548	542	-548		
月家七武海	海部長	新領地518,-242	518	-242		
月家七武海	海部長	新領地519,-242	519	-242		
月家七武海	海部長	新領地517,-240	517	-240		
月家七武海	海部長	新領地437,-159	437	-159		
月家七武海	海部長	新領地438,-158	438	-158		
月家七武海	海部長	新領地439,-158	439	-158		
月家七武海	海部長	新領地440,-157	440	-157		
月家七武海	海部長	新領地435,-159	435	-159		
月家七武海	海部長	新領地434,-159	434	-159		
月家七武海	海部長	新領地436,-159	436	-159		
月家七武海	海部長	新領地-69,-285	-69	-285		
月家七武海	海部長	新領地-69,-286	-69	-286		
月家七武海	海部長	新領地-70,-287	-70	-287		
月家七武海	海部長	新領地-68,-285	-68	-285		
月家七武海	海部長	新領地-67,-284	-67	-284		
月家七武海	海部長	新領地-66,-284	-66	-284		
月家七武海	海部長	新領地421,-375	421	-375		
月家七武海	海部長	新領地-69,-284	-69	-284		
月家七武海	海部長	新領地571,-356	571	-356		
月家七武海	海部長	新領地554,-385	554	-385		
月家七武海	海部長	新領地554,-386	554	-386		
月家七武海	海部長	新領地554,-387	554	-387		
月家七武海	海部長	新領地555,-385	555	-385		
月家七武海	海部長	新領地555,-387	555	-387		
月家七武海	海部長	新領地556,-387	556	-387		
月家七武海	海部長	新領地556,-385	556	-385		
月家七武海	海部長	新領地726,-461	726	-461		
月家七武海	海部長	新領地-213,-221	-213	-221		
月家七武海	海部長	新領地-214,-221	-214	-221		
月家七武海	海部長	新領地-215,-221	-215	-221		
月家七武海	海部長	新領地-216,-221	-216	-221		
月家七武海	海部長	新領地-217,-221	-217	-221		
月家七武海	海部長	新領地-218,-221	-218	-221		
月家七武海	海部長	新領地-219,-220	-219	-220		
月家七武海	海部長	新領地-219,-219	-219	-219		
月家七武海	海部長	新領地-220,-221	-220	-221		
月家七武海	海部長	新領地-221,-220	-221	-220		
月家七武海	海部長	新領地-221,-221	-221	-221		
月家七武海	海部長	新領地-221,-219	-221	-219		
月家七武海	海部長	新領地-219,-221	-219	-221		
月家七武海	海部長	新領地-212,-221	-212	-221		
月家七武海	海部長	新領地-70,-288	-70	-288		
月家七武海	海部長	新領地-76,-188	-76	-188		
月家七武海	海部長	新領地-75,-189	-75	-189		
月家七武海	海部長	新領地-74,-190	-74	-190		
月家七武海	海部長	新領地-73,-191	-73	-191		
月家七武海	海部長	新領地-77,-187	-77	-187		
月家七武海	海部長	新領地-78,-187	-78	-187		
月家七武海	海部長	新領地-72,-192	-72	-192		
月家七武海	海部長	新領地-222,-219	-222	-219		
月家七武海	海部長	新領地-222,-221	-222	-221		
月家七武海	海部長	新領地-76,-187	-76	-187		
月家七武海	海部長	新領地-76,-186	-76	-186		
月家七武海	海部長	新領地-218,-222	-218	-222		
月家七武海	海部長	新領地-75,-187	-75	-187		
月家七武海	海部長	新領地-152,69	-152	69		
月家七武海	海部長	新領地-222,-222	-222	-222		
月家七武海	海部長	新領地-220,-218	-220	-218		
月家七武海	海部長	新領地-221,-222	-221	-222		
月家七武海	海部長	新領地-218,-220	-218	-220		
月家七武海	海部長	新領地508,-199	508	-199		
月家七武海	海部長	新領地-76,-189	-76	-189		
月家七武海	海部長	新領地793,-776	793	-776		
月家七武海	海部長	新領地793,-777	793	-777		
月家七武海	海部長	新領地792,-778	792	-778		
月家七武海	海部長	新領地792,-779	792	-779		
月家七武海	海部長	新領地792,-780	792	-780		
月家七武海	海部長	新領地793,-781	793	-781		
月家七武海	海部長	新領地794,-782	794	-782		
月家七武海	海部長	新領地795,-783	795	-783		
月家七武海	海部長	新領地-219,-218	-219	-218		
月家七武海	海部長	新領地-222,-220	-222	-220		
月家七武海	海部長	新領地793,-775	793	-775		
月家七武海	海部長	新領地683,-765	683	-765		
月家七武海	海部長	新領地-219,-222	-219	-222		
月家七武海	海部長	新領地-47,151	-47	151		
月家七武海	海部長	新領地-218,-219	-218	-219		
月家七武海	海部長	新領地-374,-22	-374	-22		
月家七武海	海部長	新領地-220,-222	-220	-222		
月家七武海	海部長	新領地-92,87	-92	87		
月家七武海	海部長	新領地24,-509	24	-509		
月家七武海	海部長	新領地-131,106	-131	106		
月家七武海	海部長	新領地-48,42	-48	42		
月家七武海	海部長	新領地-222,-218	-222	-218		
月家七武海	海部長	新領地-221,-218	-221	-218		
月家七武海	海部長	新領地-218,-218	-218	-218		
月家七武海	海部長	新領地155,-152	155	-152		
月家七武海	海部長	新領地-157,25	-157	25		
月家七武海	海部長	新領地-69,127	-69	127		
月家七武海	海部長	新領地-487,444	-487	444		
月家七武海	海部長	新領地-45,135	-45	135		
月家七武海	海部長	新領地-527,-434	-527	-434		
月家七武海	フル	新規城351,-578	351	-578	732	1
月家七武海	フル	新規砦381,-602	381	-602	903	
月家七武海	フル	新規砦394,-613	394	-613	723	
月家七武海	フル	新規砦189,114	189	114	925	
月家七武海	フル	新規砦421,-646	421	-646	484	
月家七武海	フル	新規砦373,-721	373	-721	703	
月家七武海	フル	新規砦-153,1	-153	1	2	
月家七武海	フル	新規砦329,-772	329	-772	2	
月家七武海	フル	新領地441,-441	441	-441		
月家七武海	フル	新領地376,-598	376	-598		
月家七武海	フル	新領地390,-607	390	-607		
月家七武海	フル	新領地392,-609	392	-609		
月家七武海	フル	新領地397,-615	397	-615		
月家七武海	フル	新領地398,-616	398	-616		
月家七武海	フル	新領地399,-617	399	-617		
月家七武海	フル	新領地399,-618	399	-618		
月家七武海	フル	新領地399,-619	399	-619		
月家七武海	フル	新領地395,-613	395	-613		
月家七武海	フル	新領地415,-633	415	-633		
月家七武海	フル	新領地416,-634	416	-634		
月家七武海	フル	新領地419,-642	419	-642		
月家七武海	フル	新領地418,-639	418	-639		
月家七武海	フル	新領地407,-631	407	-631		
月家七武海	フル	新領地406,-626	406	-626		
月家七武海	フル	新領地355,-568	355	-568		
月家七武海	フル	新領地239,-553	239	-553		
月家七武海	フル	新領地188,114	188	114		
月家七武海	フル	新領地488,-709	488	-709		
月家七武海	フル	新領地371,-724	371	-724		
月家七武海	フル	新領地373,-722	373	-722		
月家七武海	フル	新領地329,-680	329	-680		
月家七武海	フル	新領地306,-748	306	-748		
月家七武海	フル	新領地351,-660	351	-660		
月家七武海	フル	新領地307,-749	307	-749		
月家七武海	フル	新領地372,-637	372	-637		
月家七武海	フル	新領地239,-467	239	-467		
月家七武海	フル	新領地545,-724	545	-724		
月家七武海	フル	新領地351,-579	351	-579		
月家七武海	フル	新領地350,-579	350	-579		
月家七武海	フル	新領地352,-579	352	-579		
月家七武海	フル	新領地352,-578	352	-578		
月家七武海	フル	新領地350,-578	350	-578		
月家七武海	フル	新領地351,-577	351	-577		
月家七武海	フル	新領地350,-577	350	-577		
月家七武海	フル	新領地353,-579	353	-579		
月家七武海	フル	新領地353,-578	353	-578		
月家七武海	フル	新領地352,-577	352	-577		
月家七武海	フル	新領地353,-577	353	-577		
月家七武海	フル	新領地353,-580	353	-580		
月家七武海	フル	新領地352,-580	352	-580		
月家七武海	フル	新領地350,-580	350	-580		
月家七武海	フル	新領地350,-581	350	-581		
月家七武海	フル	新領地349,-581	349	-581		
月家七武海	フル	新領地349,-580	349	-580		
月家七武海	フル	新領地349,-577	349	-577		
月家七武海	フル	新領地353,-576	353	-576		
月家七武海	フル	新領地350,-576	350	-576		
月家七武海	フル	新領地351,-576	351	-576		
月家七武海	フル	新領地352,-576	352	-576		
月家七武海	フル	新領地351,-580	351	-580		
月家七武海	フル	新領地351,-583	351	-583		
月家七武海	フル	新領地351,-582	351	-582		
月家七武海	フル	新領地351,-581	351	-581		
月家七武海	フル	新領地234,135	234	135		
月家七武海	フル	新領地238,-463	238	-463		
月家七武海	フル	新領地240,-507	240	-507		
月家七武海	フル	新領地311,-657	311	-657		
月家七武海	フル	新領地-328,-420	-328	-420		
月家七武海	フル	新領地202,-326	202	-326		
月家七武海	フル	新領地-135,-262	-135	-262		
月家七武海	フル	新領地-197,-200	-197	-200		
月家七武海	フル	新領地351,-435	351	-435		
月家七武海	昼行燈	今期こそ昼寝＞＜	670	-89	586	1
月家七武海	昼行燈	新規砦686,-113	686	-113	883	
月家七武海	昼行燈	新規砦698,-122	698	-122	303	
月家七武海	昼行燈	新規砦733,-22	733	-22	322	
月家七武海	昼行燈	新規砦289,-305	289	-305	1071	
月家七武海	昼行燈	新規砦775,-799	775	-799	279	
月家七武海	昼行燈	新規砦288,-308	288	-308	279	
月家七武海	昼行燈	新規砦289,-292	289	-292	971	
月家七武海	昼行燈	新規砦-303,168	-303	168	529	
月家七武海	昼行燈	新領地673,-92	673	-92		
月家七武海	昼行燈	新領地677,-96	677	-96		
月家七武海	昼行燈	新領地674,-96	674	-96		
月家七武海	昼行燈	新領地680,-100	680	-100		
