同盟	君主	領地名	X	Y	人口	本拠
ヴァリアント	御竜	お城-338,577	-338	577	762	1
ヴァリアント	御竜	新規砦-720,156	-720	156	952	
ヴァリアント	御竜	新規砦-482,656	-482	656	982	
ヴァリアント	御竜	新規砦-490,706	-490	706	2	
ヴァリアント	御竜	新規砦-494,712	-494	712	2	
ヴァリアント	御竜	新領地-339,569	-339	569		
ヴァリアント	御竜	あけちゃん譲渡用	-347	582		
ヴァリアント	御竜	新領地-357,537	-357	537		
ヴァリアント	御竜	新領地-339,578	-339	578		
ヴァリアント	御竜	新領地-484,660	-484	660		
ヴァリアント	御竜	新領地-486,664	-486	664		
ヴァリアント	御竜	新領地-481,657	-481	657		
ヴァリアント	御竜	新領地-482,657	-482	657		
ヴァリアント	御竜	新領地-653,744	-653	744		
ヴァリアント	御竜	新領地-656,749	-656	749		
ヴァリアント	御竜	新領地-649,744	-649	744		
ヴァリアント	御竜	新領地-656,743	-656	743		
ヴァリアント	御竜	新領地-656,741	-656	741		
ヴァリアント	御竜	新領地-655,742	-655	742		
ヴァリアント	御竜	新領地-395,660	-395	660		
ヴァリアント	御竜	新領地-340,578	-340	578		
ヴァリアント	御竜	新領地-491,710	-491	710		
ヴァリアント	御竜	新領地-492,710	-492	710		
ヴァリアント	御竜	新領地-493,711	-493	711		
ヴァリアント	御竜	新領地-495,713	-495	713		
ヴァリアント	へりおす	新規城-114,644	-114	644	436	1
ヴァリアント	へりおす	新規砦-118,647	-118	647	1271	
ヴァリアント	へりおす	新規砦-349,746	-349	746	23	
ヴァリアント	へりおす	新規砦-354,747	-354	747	2	
ヴァリアント	へりおす	新領地-113,647	-113	647		
ヴァリアント	へりおす	新領地-118,646	-118	646		
ヴァリアント	へりおす	新領地-114,643	-114	643		
ヴァリアント	へりおす	新領地-115,642	-115	642		
ヴァリアント	へりおす	新領地-116,641	-116	641		
ヴァリアント	へりおす	新領地-117,640	-117	640		
ヴァリアント	へりおす	新領地-118,639	-118	639		
ヴァリアント	へりおす	新領地-118,638	-118	638		
ヴァリアント	へりおす	新領地-119,637	-119	637		
ヴァリアント	へりおす	新領地-120,636	-120	636		
ヴァリアント	へりおす	新領地-121,635	-121	635		
ヴァリアント	へりおす	新領地-353,707	-353	707		
ヴァリアント	へりおす	新領地-744,438	-744	438		
ヴァリアント	へりおす	新領地-350,745	-350	745		
ヴァリアント	へりおす	新領地-105,636	-105	636		
ヴァリアント	へりおす	新領地-104,636	-104	636		
ヴァリアント	へりおす	新領地-103,635	-103	635		
ヴァリアント	へりおす	新領地-351,745	-351	745		
ヴァリアント	へりおす	新領地-352,745	-352	745		
ヴァリアント	へりおす	新領地-353,746	-353	746		
ヴァリアント	へりおす	新領地-405,647	-405	647		
ヴァリアント	へりおす	新領地-103,636	-103	636		
ヴァリアント	へりおす	新領地-348,747	-348	747		
ヴァリアント	へりおす	新領地-347,748	-347	748		
ヴァリアント	へりおす	新領地-347,749	-347	749		
ヴァリアント	へりおす	新領地-346,750	-346	750		
ヴァリアント	Eaga	オーデュボンの祈り	-666	57	1037	1
ヴァリアント	Eaga	砂漠	-758	167	762	
ヴァリアント	Eaga	グラスホッパー	-594	768	499	
ヴァリアント	Eaga	新規砦-675,49	-675	49	2	
ヴァリアント	Eaga	北西砦107	-67	597		
ヴァリアント	Eaga	北西砦122	-91	656		
ヴァリアント	Eaga	北西砦135	-107	634		
ヴァリアント	Eaga	北西砦147	-130	569		
ヴァリアント	Eaga	北西砦259	-290	634		
ヴァリアント	Eaga	北西砦273	-306	483		
ヴァリアント	Eaga	北西砦274	-309	526		
ヴァリアント	Eaga	北西砦278	-310	708		
ヴァリアント	Eaga	北西砦291	-332	508		
ヴァリアント	Eaga	北西砦295	-330	683		
ヴァリアント	Eaga	北西砦296	-331	729		
ヴァリアント	Eaga	北西砦308	-354	484		
ヴァリアント	Eaga	北西砦309	-353	531		
ヴァリアント	Eaga	北西砦312	-349	658		
ヴァリアント	Eaga	北西砦313	-351	706		
ヴァリアント	Eaga	北西砦314	-350	748		
ヴァリアント	Eaga	北西砦330	-372	682		
ヴァリアント	Eaga	北西砦331	-372	729		
ヴァリアント	Eaga	北西砦343	-399	483		
ヴァリアント	Eaga	北西砦344	-398	531		
ヴァリアント	Eaga	北西砦347	-397	658		
ヴァリアント	Eaga	北西砦348	-394	707		
ヴァリアント	Eaga	北西砦349	-394	744		
ヴァリアント	Eaga	北西砦362	-414	642		
ヴァリアント	Eaga	北西砦379	-442	663		
ヴァリアント	Eaga	北西砦398	-465	726		
ヴァリアント	Eaga	北西砦440	-530	263		
